Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'decode_1_start'.
Using operations until 'decode_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                                 Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 11472    0.0 %         TilizeWithValPaddingDeviceOperation                          15         3 μs                    1                                                     INT32 => INT32
 11953    0.1 %         BinaryNgDeviceOperation                                      15         4 μs     13,534 μs    120                                                 FP32, FP32 => FP32
 11974    0.4 %         UnaryDeviceOperation                                          1         2 μs     43,043 μs    120                                                       FP32 => FP32
 12036    0.1 %         BinaryNgDeviceOperation                                      16         8 μs      8,136 μs    120                                                 FP32, FP32 => FP32
 12046    0.1 %         BinaryNgDeviceOperation                                       5        13 μs     16,549 μs    120                                                 FP32, FP32 => BF16
 12089    0.1 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                        23        18 μs     17,287 μs     72  125 GB/s  24.3 %   7.3 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 12111    0.1 %         SliceDeviceOperation                                          6         1 μs      6,658 μs     18                                                       BF16 => BF16
 12150    0.0 %         SliceDeviceOperation                                         29         1 μs      2,322 μs     48                                                       BF16 => BF16
 12167    0.0 %         SliceDeviceOperation                                          2         1 μs      1,972 μs      4                                                       BF16 => BF16
 12217    0.6 %         AllGatherDeviceOperation                                      0        43 μs     76,614 μs     12                                                       BF16 => BF16
 12235    0.1 %         FastReduceNCDeviceOperation                                   9         2 μs     15,354 μs      4                                                       BF16 => BF16
 12290    0.0 %         TypecastDeviceOperation                                      18         1 μs      1,839 μs      4                                                       BF16 => FP32
 12310    0.0 %         ReshapeViewDeviceOperation                                   29         7 μs      5,993 μs    120                                                       FP32 => FP32
 12326    0.1 %         LayerNormDeviceOperation                                      1         8 μs     16,512 μs     32                                                 FP32, BF16 => FP32
 12365    0.4 %         TypecastDeviceOperation                                       4         3 μs     52,079 μs    120                                                       FP32 => BF16
 12396    0.0 %         SliceDeviceOperation                                          8         2 μs      2,428 μs     64                                                       BF16 => BF16
 12426    0.0 %         TypecastDeviceOperation                                      10         2 μs      2,524 μs     64                                                       BF16 => FP32
 12455    0.1 %         ReshapeViewDeviceOperation                                    2         3 μs      8,890 μs     32                                                       FP32 => FP32
 12489    0.1 %         PermuteDeviceOperation                                       11         2 μs     13,162 μs     32                                                       FP32 => FP32
 12542    0.1 %         SliceDeviceOperation                                         25         2 μs      6,378 μs     32                                                       FP32 => FP32
 12579    0.1 %         BinaryNgDeviceOperation                                      17         2 μs     16,409 μs    120                                               INT32, INT32 => FP32
 12586    0.0 %         TypecastDeviceOperation                                      10         1 μs      1,477 μs      1                                                       BF16 => FP32
 12629    0.0 %         TilizeWithValPaddingDeviceOperation                          28         3 μs        174 μs      1                                                     INT32 => INT32
 12673    0.1 %         TypecastDeviceOperation                                      19         1 μs     12,793 μs      1                                                      INT32 => FP32
 12694    0.4 %         TernaryDeviceOperation                                       29         2 μs     47,934 μs    120                                                 FP32, FP32 => FP32
 12721    0.1 %         TypecastDeviceOperation                                      15         1 μs     15,009 μs      1                                                     FP32 => UINT32
 12744    0.0 %         UntilizeWithUnpaddingDeviceOperation                          3         1 μs      2,015 μs      1                                                   UINT32 => UINT32
 12780    0.1 %         EmbeddingsDeviceOperation                                     8         1 μs      8,090 μs      1                                               UINT32, BF16 => BF16
 12829    0.1 %         TilizeWithValPaddingDeviceOperation                          24         3 μs     12,065 μs      1                                                       BF16 => BF16
 12868    0.1 %         ReshapeViewDeviceOperation                                   16         4 μs      7,686 μs      1                                                       BF16 => BF16
 12886    0.0 %         SliceDeviceOperation                                         29         1 μs      5,726 μs      1                                                       BF16 => BF16
 12930    0.0 %         TypecastDeviceOperation                                      18         1 μs      1,394 μs      1                                                       BF16 => FP32
 12939    0.1 %         BinaryNgDeviceOperation                                       9         5 μs     13,586 μs    120                                                 FP32, FP32 => FP32
 12966    0.4 %         UntilizeWithUnpaddingDeviceOperation                          1        10 μs     44,804 μs     32                                                       FP32 => FP32
 12998    0.1 %         SliceDeviceOperation                                          1         7 μs     10,450 μs    120                                                       FP32 => FP32
 13049    0.1 %         TilizeWithValPaddingDeviceOperation                          23         5 μs     12,829 μs     32                                                       FP32 => FP32
 13082    0.1 %         UntilizeWithUnpaddingDeviceOperation                         22        10 μs     14,514 μs      1                                                       BF16 => BF16
 13116    0.1 %         SliceDeviceOperation                                         20         1 μs      8,469 μs     32                                                       BF16 => BF16
 13148    0.1 %         TilizeWithValPaddingDeviceOperation                          20         3 μs     12,174 μs      1                                                       BF16 => BF16
 13176    0.0 %         TypecastDeviceOperation                                      31         1 μs      1,204 μs      1                                                       BF16 => FP32
 13196    0.4 %         TernaryDeviceOperation                                        8         6 μs     45,435 μs    120                                                 FP32, FP32 => FP32
 13244    0.0 %         BinaryNgDeviceOperation                                      20         5 μs      1,569 μs    120                                                 FP32, FP32 => FP32
 13271    0.0 %         TernaryDeviceOperation                                       30         5 μs        251 μs    120                                                 FP32, FP32 => FP32
 13307    0.1 %         UntilizeWithUnpaddingDeviceOperation                         21        10 μs      6,114 μs     32                                                       FP32 => FP32
 13323    0.0 %         UntilizeWithUnpaddingDeviceOperation                          9        10 μs      1,417 μs     32                                                       FP32 => FP32
 13349    0.1 %         PermuteDeviceOperation                                        0         4 μs     14,310 μs     32                                                       FP32 => FP32
 13400    0.0 %         PermuteDeviceOperation                                       31         4 μs      1,312 μs     32                                                       FP32 => FP32
 13438    0.1 %         ConcatDeviceOperation                                        25         1 μs      7,044 μs     64                                                 FP32, FP32 => FP32
 13449    0.1 %         PermuteDeviceOperation                                       11         3 μs      7,747 μs     32                                                       FP32 => FP32
 13485    0.1 %         TilizeWithValPaddingDeviceOperation                           4         5 μs      6,600 μs     32                                                       FP32 => FP32
 13524    0.1 %         ReshapeViewDeviceOperation                                   12        62 μs      8,039 μs      2                                                       FP32 => FP32
 13558    0.4 %         UntilizeDeviceOperation                                      29         3 μs     47,697 μs      1                                                       FP32 => FP32
 13584    0.1 %         SliceDeviceOperation                                          7         3 μs      9,398 μs     32                                                       FP32 => FP32
 13624    0.0 %         TilizeDeviceOperation                                        31         2 μs      5,931 μs      1                                                       FP32 => FP32
 13654    0.0 %         UntilizeDeviceOperation                                      29         3 μs      1,103 μs      1                                                       FP32 => FP32
 13700    0.0 %         SliceDeviceOperation                                         16         3 μs      1,023 μs     32                                                       FP32 => FP32
 13709    0.0 %         TilizeDeviceOperation                                         4         2 μs      1,217 μs      1                                                       FP32 => FP32
 13744    0.1 %         ConcatDeviceOperation                                         7         1 μs      6,579 μs      2                                                 FP32, FP32 => FP32
 13776    0.0 %         TypecastDeviceOperation                                       7         1 μs      1,788 μs      2                                                       FP32 => BF16
 13811    0.0 %         SliceDeviceOperation                                         13         1 μs      2,554 μs     64                                                       BF16 => BF16
 13849    0.1 %         ReshapeViewDeviceOperation                                   23        19 μs      8,336 μs      2                                                       BF16 => BF16
 13867    0.0 %         ConcatDeviceOperation                                         9         1 μs      1,551 μs      4                                                 BF16, BF16 => BF16
 13898    0.1 %   SLOW  MatmulDeviceOperation 32 x 128 x 128                         10         3 μs     14,618 μs      4   12 GB/s   2.3 %   0.4 TFLOPs    3.5 %  HiFi2 BF16 x BFP8 => BF16
 13946    0.1 %         ReshapeViewDeviceOperation                                   22         5 μs     10,177 μs    120                                                       BF16 => BF16
 13978    0.3 %         UntilizeWithUnpaddingDeviceOperation                         22         2 μs     36,602 μs      1                                                     INT32 => INT32
 14000    0.1 %         RepeatDeviceOperation                                         7         1 μs      8,435 μs    120                                                     INT32 => INT32
 14038    0.0 %         TilizeWithValPaddingDeviceOperation                          29         3 μs      5,949 μs      1                                                     INT32 => INT32
 14078    0.1 %         InterleavedToShardedDeviceOperation                          25         1 μs      8,034 μs     32                                                       BF16 => BF16
 14109    0.0 %         UntilizeWithUnpaddingDeviceOperation                         24         1 μs      5,935 μs      1                                                     INT32 => INT32
 14134    0.1 %         PagedUpdateCacheDeviceOperation                              29         4 μs     15,362 μs     32                                                 BF16, BF16 => BF16
 14169    0.9 %         ReduceScatterDeviceOperation                                  0        68 μs    113,792 μs     12                                                       BF16 => BF16
 14201    0.9 %         AllGatherDeviceOperation                                      0        44 μs    103,164 μs     12                                                       BF16 => BF16
 14239    0.1 %         LayerNormDeviceOperation                                     26        25 μs     17,237 μs      1                                                 BF16, BF16 => BF16
 14262    0.2 %   SLOW  MatmulDeviceOperation 32 x 1536 x 3072                       29        36 μs     19,053 μs     96  140 GB/s  27.4 %   8.5 TFLOPs    3.2 %  HiFi2 BF16 x BFP8 => BF16
 14285    0.4 %         ReshapeViewDeviceOperation                                    4        32 μs     45,562 μs    120                                                       BF16 => BF16
 14318    0.1 %         SliceDeviceOperation                                          5         2 μs      7,612 μs    120                                                       BF16 => BF16
 14350    0.1 %         PermuteDeviceOperation                                        5        95 μs      9,336 μs    120                                                       BF16 => BF16
 14403    0.0 %         ReshapeViewDeviceOperation                                   17        21 μs      5,535 μs     64                                                       BF16 => BF16
 14436    0.1 %   SLOW  MatmulDeviceOperation b={16} x 32 x 128 x 512                16        30 μs     17,240 μs     16   57 GB/s  11.0 %   2.2 TFLOPs    5.0 %  HiFi2 BF16 x BFP8 => BF16
 14455    0.1 %         ReshapeViewDeviceOperation                                   30       110 μs      9,289 μs    120                                                       BF16 => BF16
 14497    0.1 %         PermuteDeviceOperation                                       19        68 μs      8,438 μs    120                                                       BF16 => BF16
 14521    0.9 %         AllGatherDeviceOperation                                      0        46 μs    102,931 μs     12                                                       BF16 => BF16
 14552    0.1 %         FastReduceNCDeviceOperation                                  31         2 μs      9,552 μs     18                                                       BF16 => BF16
 14580    0.0 %         SliceDeviceOperation                                         12         1 μs      1,984 μs     16                                                       BF16 => BF16
 14623    0.0 %         ReshapeViewDeviceOperation                                   26        13 μs      4,287 μs    120                                                       BF16 => BF16
 14631    0.1 %         LayerNormDeviceOperation                                      2        12 μs     14,670 μs     32                                                 BF16, BF16 => BF16
 14677    0.4 %         InterleavedToShardedDeviceOperation                          28         4 μs     44,547 μs     32                                                       BF16 => BF16
 14718    0.1 %         PagedUpdateCacheDeviceOperation                              25         9 μs     16,494 μs     32                                                 BF16, BF16 => BF16
 14756    0.0 %         SliceDeviceOperation                                         16         1 μs      2,888 μs     64                                                       BF16 => BF16
 14785    0.0 %         TypecastDeviceOperation                                      19         2 μs      1,411 μs     64                                                       BF16 => FP32
 14814    0.1 %         ReshapeViewDeviceOperation                                   25        31 μs     12,002 μs    120                                                       FP32 => FP32
 14836    0.0 %         SliceDeviceOperation                                         12        17 μs      2,602 μs    120                                                       FP32 => FP32
 14866    0.0 %         BinaryNgDeviceOperation                                      14        52 μs      1,411 μs    120                                                 FP32, FP32 => FP32
 14901    0.1 %         UntilizeWithUnpaddingDeviceOperation                         28        46 μs     17,408 μs    103                                                       FP32 => FP32
 14929    0.0 %         SliceDeviceOperation                                         15        73 μs      3,149 μs    120                                                       FP32 => FP32
 14966    0.5 %         TilizeWithValPaddingDeviceOperation                          29        41 μs     62,918 μs    103                                                       FP32 => FP32
 14995    0.0 %         TernaryDeviceOperation                                       13        60 μs      3,365 μs    120                                                 FP32, FP32 => FP32
 15016    0.0 %         BinaryNgDeviceOperation                                       3        55 μs      1,455 μs    120                                                 FP32, FP32 => FP32
 15065    0.0 %         TernaryDeviceOperation                                       23        58 μs        207 μs    120                                                 FP32, FP32 => FP32
 15080    0.0 %         UntilizeWithUnpaddingDeviceOperation                          3        46 μs      1,927 μs    103                                                       FP32 => FP32
 15140    0.0 %         UntilizeWithUnpaddingDeviceOperation                         16        46 μs      1,379 μs    103                                                       FP32 => FP32
 15170    0.1 %         PermuteDeviceOperation                                       18        32 μs      9,230 μs    120                                                       FP32 => FP32
 15198    0.0 %         PermuteDeviceOperation                                       25        32 μs      1,315 μs    120                                                       FP32 => FP32
 15205    0.0 %         ConcatDeviceOperation                                         0         5 μs      1,648 μs    120                                                 FP32, FP32 => FP32
 15251    0.1 %         PermuteDeviceOperation                                       13        13 μs      8,700 μs    120                                                       FP32 => FP32
 15277    0.0 %         TilizeWithValPaddingDeviceOperation                           4        41 μs      3,028 μs    103                                                       FP32 => FP32
 15305    0.1 %         TypecastDeviceOperation                                      11        15 μs     17,818 μs    120                                                       FP32 => BF16
 15358    0.5 %         ReshapeViewDeviceOperation                                   25        32 μs     57,310 μs     64                                                       BF16 => BF16
 15393    0.0 %         SliceDeviceOperation                                         19         1 μs      1,720 μs      2                                                       BF16 => BF16
 15403    0.0 %         TypecastDeviceOperation                                       9         1 μs      2,069 μs      2                                                       BF16 => FP32
 15458    0.0 %         ReshapeViewDeviceOperation                                   18         7 μs      2,179 μs     32                                                       FP32 => FP32
 15490    0.0 %         SliceDeviceOperation                                         18         2 μs        986 μs     32                                                       FP32 => FP32
 15515    0.0 %         BinaryNgDeviceOperation                                      21         5 μs        243 μs    120                                                 FP32, FP32 => FP32
 15553    0.0 %         UntilizeWithUnpaddingDeviceOperation                         19        10 μs        182 μs     32                                                       FP32 => FP32
 15586    0.0 %         SliceDeviceOperation                                         18         7 μs        195 μs    120                                                       FP32 => FP32
 15613    0.0 %         TilizeWithValPaddingDeviceOperation                          24         5 μs        173 μs     32                                                       FP32 => FP32
 15639    0.0 %         TernaryDeviceOperation                                       30         6 μs        293 μs    120                                                 FP32, FP32 => FP32
 15679    0.0 %         BinaryNgDeviceOperation                                      26         5 μs        214 μs    120                                                 FP32, FP32 => FP32
 15713    0.0 %         TernaryDeviceOperation                                       19         6 μs        202 μs    120                                                 FP32, FP32 => FP32
 15733    0.0 %         UntilizeWithUnpaddingDeviceOperation                         28        10 μs        176 μs     32                                                       FP32 => FP32
 15757    0.0 %         UntilizeWithUnpaddingDeviceOperation                          4        10 μs        120 μs     32                                                       FP32 => FP32
 15804    0.0 %         PermuteDeviceOperation                                       20         4 μs        112 μs     32                                                       FP32 => FP32
 15825    0.0 %         PermuteDeviceOperation                                       15         4 μs        116 μs     32                                                       FP32 => FP32
 15854    0.0 %         ConcatDeviceOperation                                         5         1 μs        166 μs     64                                                 FP32, FP32 => FP32
 15905    0.0 %         PermuteDeviceOperation                                       19         3 μs        123 μs     32                                                       FP32 => FP32
 15929    0.0 %         TilizeWithValPaddingDeviceOperation                          23         5 μs        111 μs     32                                                       FP32 => FP32
 15951    0.0 %         TypecastDeviceOperation                                       6         2 μs      1,222 μs     32                                                       FP32 => BF16
 15980    0.0 %         ReshapeViewDeviceOperation                                    8         3 μs      2,359 μs     64                                                       BF16 => BF16
 16035    0.0 %         InterleavedToShardedDeviceOperation                          17         1 μs      1,949 μs     32                                                       BF16 => BF16
 16055    0.1 %         PagedUpdateCacheDeviceOperation                              30         3 μs     16,564 μs     32                                                 BF16, BF16 => BF16
 16090    0.0 %         ConcatDeviceOperation                                        22         8 μs      3,329 μs    120                                                 BF16, BF16 => BF16
 16129    0.0 %         ConcatDeviceOperation                                        19        29 μs      2,536 μs    120                                                 BF16, BF16 => BF16
 16147    0.6 %         SdpaDecodeDeviceOperation                                    13        28 μs     69,383 μs     64                                                 BF16, BF16 => BF16
 16182    0.1 %         TransposeDeviceOperation                                     29         9 μs     10,559 μs    120                                                       BF16 => BF16
 16218    0.1 %         PermuteDeviceOperation                                       22       364 μs      9,149 μs    120                                                       BF16 => BF16
 16230    0.1 %         ReshapeViewDeviceOperation                                    1       104 μs     10,039 μs    120                                                       BF16 => BF16
 16269    0.1 %   SLOW  MatmulDeviceOperation b={16} x 32 x 512 x 128                 4        97 μs     16,697 μs      4   18 GB/s   3.4 %   0.7 TFLOPs    6.2 %  HiFi2 BF16 x BFP8 => BF16
 16296    0.5 %         ReshapeViewDeviceOperation                                    3        29 μs     57,741 μs    120                                                       BF16 => BF16
 16341    0.1 %         PermuteDeviceOperation                                       28        19 μs     10,144 μs    120                                                       BF16 => BF16
 16367    0.0 %         ReshapeViewDeviceOperation                                    6        21 μs      4,481 μs     64                                                       BF16 => BF16
 16405    0.2 %   SLOW  MatmulDeviceOperation 32 x 2048 x 7168                       28        54 μs     18,573 μs    112  283 GB/s  55.2 %  17.4 TFLOPs    5.6 %  HiFi2 BF16 x BFP8 => BF16
 16441    0.9 %         ReduceScatterDeviceOperation                                  0        68 μs    105,046 μs     12                                                       BF16 => BF16
 16478    0.0 %         TypecastDeviceOperation                                      25         2 μs      1,489 μs     28                                                       BF16 => FP32
 16505    0.1 %         BinaryNgDeviceOperation                                      23         2 μs     13,950 μs    120                                                 FP32, FP32 => FP32
 16519    0.0 %         LayerNormPreAllGatherDeviceOperation                          0        15 μs      1,693 μs      1                                                       FP32 => FP32
 16572    0.0 %         SliceDeviceOperation                                         22         1 μs        156 μs      1                                                       FP32 => FP32
 16603    0.0 %         AllGatherDeviceOperation                                      0        45 μs        910 μs     12                                                       FP32 => FP32
 16629    0.0 %         FillPadDeviceOperation                                       13         4 μs        121 μs      8                                                       FP32 => FP32
 16675    0.0 %         TransposeDeviceOperation                                     19         4 μs        161 μs    120                                                       FP32 => FP32
 16709    0.0 %         ReduceDeviceOperation                                        17         2 μs        141 μs     32                                                       FP32 => FP32
 16714    0.0 %         TransposeDeviceOperation                                      3         1 μs        162 μs    120                                                       FP32 => FP32
 16763    0.0 %         BinaryNgDeviceOperation                                      23         4 μs        261 μs    120                                                 FP32, FP32 => FP32
 16788    0.0 %         BinaryNgDeviceOperation                                      14         4 μs        238 μs    120                                                 FP32, FP32 => FP32
 16835    0.0 %         UnaryDeviceOperation                                         19         2 μs        219 μs    120                                                       FP32 => FP32
 16849    0.0 %         BinaryNgDeviceOperation                                       6         9 μs        221 μs    120                                                 FP32, FP32 => FP32
 16896    0.0 %         BinaryNgDeviceOperation                                      25        13 μs        245 μs    120                                                 FP32, FP32 => BF16
 16923    0.8 %         AllGatherDeviceOperation                                      0        32 μs    101,201 μs     12                                                       BF16 => BF16
 16937    0.2 %   SLOW  MatmulDeviceOperation 128 x 896 x 4608                        2        30 μs     19,769 μs     72  187 GB/s  36.6 %  35.7 TFLOPs   17.9 %  HiFi2 BF16 x BFP8 => BF16
 16987    0.9 %         ReduceScatterDeviceOperation                                  0        75 μs    110,130 μs     12                                                       BF16 => BF16
 17019    1.0 %         AllGatherDeviceOperation                                      0        60 μs    120,966 μs     12                                                       BF16 => BF16
 17051    0.7 %         TypecastDeviceOperation                                      23        12 μs     79,361 μs    120                                                       BF16 => FP32
 17092    0.0 %   SLOW  MatmulDeviceOperation 128 x 896 x 4608                       18        30 μs      1,261 μs     72  187 GB/s  36.4 %  35.6 TFLOPs   17.9 %  HiFi2 BF16 x BFP8 => BF16
 17115    0.0 %         ReduceScatterDeviceOperation                                  0        83 μs        838 μs     12                                                       BF16 => BF16
 17147    0.0 %         AllGatherDeviceOperation                                      0        59 μs        393 μs     12                                                       BF16 => BF16
 17164    0.0 %         TypecastDeviceOperation                                      10        11 μs        114 μs    120                                                       BF16 => FP32
 17207    0.1 %         BinaryNgDeviceOperation                                      28        21 μs     17,268 μs    120                                                 FP32, FP32 => BF16
 17229    0.2 %   SLOW  MatmulDeviceOperation 128 x 4608 x 896                        9        92 μs     18,564 μs     28   60 GB/s  11.7 %  11.4 TFLOPs   14.8 %  HiFi2 BF16 x BFP8 => BF16
 17275    1.0 %         ReduceScatterDeviceOperation                                  0        44 μs    126,411 μs     12                                                       BF16 => BF16
 17296    0.0 %         TypecastDeviceOperation                                       5         2 μs      1,586 μs     28                                                       BF16 => FP32
 17344    0.0 %         BinaryNgDeviceOperation                                      25         2 μs        286 μs    120                                                 FP32, FP32 => FP32
 17353    0.0 %         LayerNormPreAllGatherDeviceOperation                          0        15 μs        402 μs      1                                                       FP32 => FP32
 17403    0.0 %         SliceDeviceOperation                                         30         1 μs        172 μs      1                                                       FP32 => FP32
 17437    0.0 %         AllGatherDeviceOperation                                      0        46 μs        934 μs     12                                                       FP32 => FP32
 17465    0.0 %         FillPadDeviceOperation                                       28         4 μs        118 μs      8                                                       FP32 => FP32
 17502    0.0 %         TransposeDeviceOperation                                     22         3 μs        196 μs    120                                                       FP32 => FP32
 17536    0.0 %         ReduceDeviceOperation                                        20         2 μs        189 μs     32                                                       FP32 => FP32
 17567    0.0 %         TransposeDeviceOperation                                     21         1 μs        168 μs    120                                                       FP32 => FP32
 17579    0.0 %         BinaryNgDeviceOperation                                       2         4 μs        278 μs    120                                                 FP32, FP32 => FP32
 17629    0.0 %         BinaryNgDeviceOperation                                      23         4 μs        249 μs    120                                                 FP32, FP32 => FP32
 17667    0.0 %         UnaryDeviceOperation                                         26         2 μs        243 μs    120                                                       FP32 => FP32
 17701    0.0 %         BinaryNgDeviceOperation                                      19         9 μs        254 μs    120                                                 FP32, FP32 => FP32
 17715    0.0 %         BinaryNgDeviceOperation                                       6        13 μs        266 μs    120                                                 FP32, FP32 => BF16
 17760    0.0 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                        20        18 μs        208 μs     72  125 GB/s  24.3 %   7.2 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 17771    0.0 %         SliceDeviceOperation                                          2         1 μs        155 μs     18                                                       BF16 => BF16
 17826    0.0 %         SliceDeviceOperation                                         25         1 μs        161 μs     48                                                       BF16 => BF16
 17848    0.0 %         SliceDeviceOperation                                         12         1 μs        325 μs      4                                                       BF16 => BF16
 17885    0.0 %         AllGatherDeviceOperation                                      0        48 μs        649 μs     12                                                       BF16 => BF16
 17920    0.0 %         FastReduceNCDeviceOperation                                  20         2 μs        156 μs      4                                                       BF16 => BF16
 17951    0.0 %         TypecastDeviceOperation                                      21         1 μs        208 μs      4                                                       BF16 => FP32
 17980    0.0 %         ReshapeViewDeviceOperation                                   31         7 μs        206 μs    120                                                       FP32 => FP32
 17998    0.0 %         LayerNormDeviceOperation                                     10         8 μs        194 μs     32                                                 FP32, BF16 => FP32
 18033    0.0 %         TypecastDeviceOperation                                       4         3 μs        169 μs    120                                                       FP32 => BF16
 18078    0.0 %         SliceDeviceOperation                                         22         2 μs        173 μs     64                                                       BF16 => BF16
 18100    0.0 %         TypecastDeviceOperation                                       7         2 μs        169 μs     64                                                       BF16 => FP32
 18145    0.0 %         ReshapeViewDeviceOperation                                   24         3 μs        172 μs     32                                                       FP32 => FP32
 18176    0.0 %         PermuteDeviceOperation                                       20         2 μs        211 μs     32                                                       FP32 => FP32
 18212    0.0 %         SliceDeviceOperation                                         27         2 μs        165 μs     32                                                       FP32 => FP32
 18229    0.0 %         BinaryNgDeviceOperation                                      15         5 μs        254 μs    120                                                 FP32, FP32 => FP32
 18266    0.0 %         UntilizeWithUnpaddingDeviceOperation                         29        10 μs        184 μs     32                                                       FP32 => FP32
 18289    0.0 %         SliceDeviceOperation                                          4         7 μs        221 μs    120                                                       FP32 => FP32
 18316    0.0 %         TilizeWithValPaddingDeviceOperation                           3         5 μs        186 μs     32                                                       FP32 => FP32
 18357    0.0 %         TernaryDeviceOperation                                       15         6 μs        303 μs    120                                                 FP32, FP32 => FP32
 18394    0.0 %         BinaryNgDeviceOperation                                      29         5 μs        211 μs    120                                                 FP32, FP32 => FP32
 18421    0.0 %         TernaryDeviceOperation                                       15         5 μs        228 μs    120                                                 FP32, FP32 => FP32
 18445    0.0 %         UntilizeWithUnpaddingDeviceOperation                         11        10 μs        199 μs     32                                                       FP32 => FP32
 18493    0.0 %         UntilizeWithUnpaddingDeviceOperation                         23        10 μs        143 μs     32                                                       FP32 => FP32
 18521    0.0 %         PermuteDeviceOperation                                       28         4 μs        129 μs     32                                                       FP32 => FP32
 18560    0.0 %         PermuteDeviceOperation                                       20         4 μs        121 μs     32                                                       FP32 => FP32
 18591    0.0 %         ConcatDeviceOperation                                        21         1 μs        151 μs     64                                                 FP32, FP32 => FP32
 18603    0.0 %         PermuteDeviceOperation                                        2         3 μs        121 μs     32                                                       FP32 => FP32
 18653    0.0 %         TilizeWithValPaddingDeviceOperation                          23         5 μs        142 μs     32                                                       FP32 => FP32
 18694    0.0 %         ReshapeViewDeviceOperation                                   18        62 μs        240 μs      2                                                       FP32 => FP32
 18728    0.0 %         UntilizeDeviceOperation                                      16         3 μs        100 μs      1                                                       FP32 => FP32
 18730    0.0 %         SliceDeviceOperation                                          1         3 μs        122 μs     32                                                       FP32 => FP32
 18782    0.0 %         TilizeDeviceOperation                                        22         2 μs        139 μs      1                                                       FP32 => FP32
 18821    0.0 %         UntilizeDeviceOperation                                      19         3 μs        163 μs      1                                                       FP32 => FP32
 18826    0.0 %         SliceDeviceOperation                                          1         3 μs        115 μs     32                                                       FP32 => FP32
 18875    0.0 %         TilizeDeviceOperation                                        30         2 μs        121 μs      1                                                       FP32 => FP32
 18908    0.0 %         ConcatDeviceOperation                                        31         1 μs        177 μs      2                                                 FP32, FP32 => FP32
 18929    0.0 %         TypecastDeviceOperation                                       4         1 μs        148 μs      2                                                       FP32 => BF16
 18984    0.0 %         SliceDeviceOperation                                         16         1 μs        158 μs     64                                                       BF16 => BF16
 19007    0.0 %         ReshapeViewDeviceOperation                                   21        20 μs        174 μs      2                                                       BF16 => BF16
