WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-06-26 13:18:53.816 (   0.000s) [        D6ED4480]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]        api_bindings.cc:76       1| PJRT_Plugin_Attributes
2025-06-26 13:18:57.248453: W torch_xla/csrc/runtime/profiler.cpp:88] Profiler API not found for PJRT plugin
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.248 (   3.432s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
/localdev/hshah/tt-xla/examples/xla_all_gather_op_v1.py:79: DeprecationWarning: Use torch_xla.device instead
  t = t.to(xm.xla_device())
/localdev/hshah/tt-xla/examples/xla_all_gather_op_v1.py:80: DeprecationWarning: Use torch_xla.device instead
  w = w.to(xm.xla_device())
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.590 (   3.774s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.606 (   3.790s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.606 (   3.790s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.606 (   3.790s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.607 (   3.790s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.607 (   3.791s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.608 (   3.791s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.619 (   3.802s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.802s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.802s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.802s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.803s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.803s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.803s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.619 (   3.803s) [        D6ED4480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     client_instance.cc:375      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-06-26 13:18:57.700 (   3.883s) [        D6ED4480]     memory_instance.cc:57       1| MemoryInstance::getDevice
