WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-07-04 09:47:16.221 (   0.000s) [        1517A480]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
/localdev/hshah/tt-xla/examples/xla_all_gather_simple.py:45: DeprecationWarning: Use torch_xla.device instead
  t = t.to(xm.xla_device())
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.966 (   3.745s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.969 (   3.748s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.969 (   3.748s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.969 (   3.748s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.969 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.969 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.969 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.969 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.969 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.749s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     client_instance.cc:466      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]      event_instance.cc:222      1| EventInstance::PJRT_Event_OnReady
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]      event_instance.cc:171      1| EventInstance::PJRT_Event_Destroy
2025-07-04 09:47:19.970 (   3.750s) [        1517A480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
