2025-12-04 19:54:13.849 (   0.000s) [        CE2D1B80]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]   plugin_attributes.cc:64       1| PluginAttributes::PJRT_Plugin_Attributes
2025-12-04 19:55:14.790608: W torch_xla/csrc/runtime/profiler.cpp:88] Profiler API not found for PJRT plugin
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
